"Sequence Number","band","Country","State","Region","Location","Output Frequency","Input Frequency","Call Sign","Repeater Notes","CTCSS Tones","Sponsor"
"288","51-54 MHz (6 m)","","","","Kalkaska","52.82","-","W8KAL","o","",""
"289","51-54 MHz (6 m)","","","","Lake Forest Santiago Peak","52.82","-","N6CRF","c","",""
"290","51-54 MHz (6 m)","","","","Newberg","52.83","-","KR7IS","o","107.2",""
"291","51-54 MHz (6 m)","","","","Tomahawk","52.83","-","N9MEA","o","114.8",""
"292","51-54 MHz (6 m)","","","","Victoria Mount McDonald","52.83","-","VE7RSX","o","100.0",""
"293","51-54 MHz (6 m)","","","","Altadena Mt Wilson","52.84","-","WA6DVG","o","94.8",""
"294","51-54 MHz (6 m)","","","","Fresno","52.84","-","WA6IPZ","o","82.5",""
"295","51-54 MHz (6 m)","","","","Abbotsford Sumas Mountain","52.85","-","VE7RVA","o","100.0",""
"296","51-54 MHz (6 m)","","","","Dekalb","52.85","-","W9GG","o","100.0",""
"297","51-54 MHz (6 m)","","","","Missoula","52.85","-","K7UXO","o","",""
"298","51-54 MHz (6 m)","","","","Timber","52.85","-","KR7IS","o","107.2",""
"299","51-54 MHz (6 m)","","","","Sylmar Contractors Point","52.86","-","KD6JTD","o","82.5",""
"300","51-54 MHz (6 m)","","","","Vacaville Blue Ridge","52.86","-","N6NMZ","o","136.5",""
"301","51-54 MHz (6 m)","","","","Duncan","52.87","-","VE7RNA ","o","141.3",""
"302","51-54 MHz (6 m)","","","","Garden City","52.87","-","WA0OQA","o","141.3",""
"303","51-54 MHz (6 m)","","","","Mountainburg  East Hill","52.87","-","KC5MRE","o","",""
"304","51-54 MHz (6 m)","","","","West Chicago","52.87","-","W9DMW","o","114.8",""
"305","51-54 MHz (6 m)","","","","Lompoc Harris Grade","52.88","-","WA6VPL","o","82.5",""
"306","51-54 MHz (6 m)","","","","Nicasio","52.88","-","KE6ORI","o","114.8",""
"307","51-54 MHz (6 m)","","","","Ashland","52.89","-","KB0IRV","o","127.3",""
"308","51-54 MHz (6 m)","","","","Chicago","52.89","-","K9SAD","o","131.8",""
"309","51-54 MHz (6 m)","","","","Vancouver","52.89","-","VE7HCP","o","100.0",""
"310","51-54 MHz (6 m)","","","","Wausau","52.89","-","W9MEA","o","114.8",""
"311","51-54 MHz (6 m)","","","","Barnesboro","52.9","-","KE3DR","o","141.3",""
"312","51-54 MHz (6 m)","","","","Lone Pine Owens Valley","52.9","-","N6BKL","o","100.0",""
"313","51-54 MHz (6 m)","","","","Reno Lemon Valley","52.9","-","KB6TDJ","o","107.2",""
"314","51-54 MHz (6 m)","","","","Shingle Springs","52.9","-","KG6HAT","o","100.0",""
"315","51-54 MHz (6 m)","","","","Crystal Lake","52.91","-","K9VI","o","114.8",""
"316","51-54 MHz (6 m)","","","","Mount Ida High Peak","52.91","-","KA5WPC","o","100.0",""
"317","51-54 MHz (6 m)","","","","Sweet Home Marks Ridge","52.91","-","KG7BZ","o","100.0",""
"318","51-54 MHz (6 m)","","","","Topeka","52.91","-","K0HAM","o","88.5",""
"319","51-54 MHz (6 m)","","","","Vancouver Anvil Island","52.91","-","VE7QRO","o","100.0",""
"320","51-54 MHz (6 m)","","","","Glen Arbor","52.92","-","WI0OK","o","146.2",""
"321","51-54 MHz (6 m)","","","","Santa Ynez Broadcast Peak","52.92","-","K6BVA","o","88.5",""
"322","51-54 MHz (6 m)","","","","Chehalis Baw Faw Peak","52.93","-","K7CH","o","100.0",""
"323","51-54 MHz (6 m)","","","","Decatur","52.94","-","KF8ZF","o","94.8",""
"324","51-54 MHz (6 m)","","","","Lompoc Tranquillion Peak","52.94","-","WB6FLY","o","82.5",""
"325","51-54 MHz (6 m)","","","","Roswell Comanche Hill","52.94","-","W5GNB","o","100.0",""
"326","51-54 MHz (6 m)","","","","San Jose","52.94","-","KG6HAT","o","100.0",""
"327","51-54 MHz (6 m)","","","","Elgin","52.95","-","WR9ABQ","o","114.8",""
"328","51-54 MHz (6 m)","","","","Wynne","52.95","-","N0HNQ","o","107.2",""
"329","51-54 MHz (6 m)","","","","Yacolt Yacolt Mountain","52.95","-","W7AIA","o","94.8",""
"330","51-54 MHz (6 m)","","","","Culver City Baldwin Hills","52.96","-","WA6MDJ","o","82.5",""
"331","51-54 MHz (6 m)","","","","Horace","52.96","-","W0ZOK","o","",""
"332","51-54 MHz (6 m)","","","","Lansing","52.96","-","KD8PA","o","100.0",""
"333","51-54 MHz (6 m)","","","","Danville","52.97","-","NU9R","o","88.5",""
"334","51-54 MHz (6 m)","","","","Government Camp Timberline Lodge","52.97","-","WB7DZG","o","107.2",""
"335","51-54 MHz (6 m)","","","","Mena","52.97","-","N5AD","o","100.0",""
"336","51-54 MHz (6 m)","","","","Monroe","52.97","-","W9MUP","o","",""
"337","51-54 MHz (6 m)","","","","Olathe","52.97","-","N0CRD","o","91.5",""
"338","51-54 MHz (6 m)","","","","Victoria","52.97","-","VE7RFR","o","",""
"339","51-54 MHz (6 m)","","","","Casper","52.98","-","W7VNJ","o","141.3",""
"340","51-54 MHz (6 m)","","","","Foresthill","52.98","-","N6ZQK","o","131.8",""
"341","51-54 MHz (6 m)","","","","Pollock Pines","52.98","-","WB6DAX","o","141.3",""
"342","51-54 MHz (6 m)","","","","Rimforest","52.98","-","KF6MZS","c","103.5",""
"343","51-54 MHz (6 m)","","","","Running Springs Mount R","52.98","-","W6CDF","o","103.5",""
"344","51-54 MHz (6 m)","","","","Ventura Red Mountain","52.98","-","K6ERN","o","82.5",""
"345","51-54 MHz (6 m)","","","","Silverton Silver Creek Falls","52.99","-","WA7ABU","o","100.0",""
"346","51-54 MHz (6 m)","","","","New Washoe City","53","53","NH7M","o","103.5",""
"347","51-54 MHz (6 m)","","","","Barnstable","53.01","-","N1YHS","o","173.8",""
"348","51-54 MHz (6 m)","","","","Bethany","53.01","-","KD5AHH","o","",""
"349","51-54 MHz (6 m)","","","","Buxton","53.01","-","K4OBX","o","131.8",""
"350","51-54 MHz (6 m)","","","","Cleveland","53.01","-","W0FX","o","",""
"351","51-54 MHz (6 m)","","","","Cochran","53.01","-","W4MAZ","o","77.0",""
"352","51-54 MHz (6 m)","","","","Elko Adobe","53.01","-","KE7LKO","o","100.0",""
"353","51-54 MHz (6 m)","","","","Ellisville","53.01","-","N5EKR","o","",""
"354","51-54 MHz (6 m)","","","","Farmington","53.01","-","KB5ITS","o","131.8",""
"355","51-54 MHz (6 m)","","","","Farmington  Shepard Peak","53.01","-","K7DAV","o","141.3",""
"356","51-54 MHz (6 m)","","","","Grenville","53.01","-","VE2RCS","o","",""
"357","51-54 MHz (6 m)","","","","Harrisburg","53.01","-","W3ND","o","123.0",""
"358","51-54 MHz (6 m)","","","","Indianapolis","53.01","-","K9TNW","o","",""
"359","51-54 MHz (6 m)","","","","Kernersville","53.01","-","KF4OVA","o","88.5",""
"360","51-54 MHz (6 m)","","","","Las Vegas Mt Potosi","53.01","-","WB6TNP","o","141.3",""
"361","51-54 MHz (6 m)","","","","Lexington","53.01","-","W4ROC","o","",""
"362","51-54 MHz (6 m)","","","","Lowbanks","53.01","-","VE3ZEC","o","131.8",""
"363","51-54 MHz (6 m)","","","","Memphis Hilton East Memphis","53.01","-","WB4KOG","o","107.2",""
"364","51-54 MHz (6 m)","","","","Nashville","53.01","-","WA4BGK","o","107.2",""
"365","51-54 MHz (6 m)","","","","New Market","53.01","-","","c","107.2",""
"366","51-54 MHz (6 m)","","","","Rockford","53.01","-","K9AMJ","o","118.8",""
"367","51-54 MHz (6 m)","","","","Salem Salem Hill","53.01","-","KK4ICE","o","123.0",""
"368","51-54 MHz (6 m)","","","","Syracuse","53.01","-","N2TUF","o","065",""
"369","51-54 MHz (6 m)","","","","University Place","53.01","-","K7NP","o","100.0",""
"370","51-54 MHz (6 m)","","","","Two Harbors","53.02","-","KB0TNB","o","103.5",""
"371","51-54 MHz (6 m)","","","","Anaconda","53.03","-","KB7IQN","o","131.8",""
"372","51-54 MHz (6 m)","","","","Augusta","53.03","-","K4KNS","o","",""
"373","51-54 MHz (6 m)","","","","Braintree","53.03","-","K1GUG","o","",""
"374","51-54 MHz (6 m)","","","","Broken Bow","53.03","-","K7RM","o","100.0",""
"375","51-54 MHz (6 m)","","","","Burnside Alien Grave Mountain","53.03","-","KY6MTR","o","",""
"376","51-54 MHz (6 m)","","","","Calgary Nose Hill Park","53.03","-","VE6RYC","o","110.9",""
"377","51-54 MHz (6 m)","","","","Canon City Fremont Peak","53.03","-","WB0WDF","o","88.5",""
"378","51-54 MHz (6 m)","","","","Chaska","53.03","-","N0QNY","o","",""
"379","51-54 MHz (6 m)","","","","Coker","53.03","-","K4CR","o","",""
"380","51-54 MHz (6 m)","","","","Elkins","53.03","-","WV8ZH","o","162.2",""
"381","51-54 MHz (6 m)","","","","Essex","53.03","-","VE3SMR","o","118.8",""
"382","51-54 MHz (6 m)","","","","Fairless Hills","53.03","-","W3BXW","o","131.8",""
"383","51-54 MHz (6 m)","","","","Gilman","53.03","-","NF0T","o","151.4",""
"384","51-54 MHz (6 m)","","","","Harrison  Gaither Mountain","53.03","-","WA9SSO","o","",""
"385","51-54 MHz (6 m)","","","","Honolulu","53.03","-","WH6F","o","",""
"386","51-54 MHz (6 m)","","","","Lander","53.03","-","N7HYF","o","261",""
"387","51-54 MHz (6 m)","","","","Laramie  Pilot Hill","53.03","-","K7UWR","o","",""
"388","51-54 MHz (6 m)","","","","Miami","53.03","-","AC4XQ","o","107.2",""
"389","51-54 MHz (6 m)","","","","Milwaukee","53.03","-","W9DHI","o","103.5",""
"390","51-54 MHz (6 m)","","","","Mobile Providence Hospital","53.03","-","W4IAX","o","203.5",""
"391","51-54 MHz (6 m)","","","","Monroe Prairie Peak","53.03","-","W7ARD","o","100.0",""
"392","51-54 MHz (6 m)","","","","Ottawa","53.03","-","VE3RVI","o","",""
"393","51-54 MHz (6 m)","","","","Raleigh","53.03","-","K4ITL","o","",""
"394","51-54 MHz (6 m)","","","","Richboro","53.03","-","WA3DSP","o","131.8",""
"395","51-54 MHz (6 m)","","","","Salem","53.03","-","KB8MFV","o","88.5",""
"396","51-54 MHz (6 m)","","","","Skokomish South Mountain","53.03","-","K7CH","o","100.0",""
"397","51-54 MHz (6 m)","","","","Spring Grove","53.03","-","N3TVL","o","123.0",""
"398","51-54 MHz (6 m)","","","","Sudbury","53.03","-","VE3ONL","o","",""
"399","51-54 MHz (6 m)","","","","Uxbridge Skyloft","53.03","-","VE3SIX","o","103.5",""
"400","51-54 MHz (6 m)","","","","Wacissa","53.03","-","K4TLH","o","94.8",""
"401","51-54 MHz (6 m)","","","","Safford Heliograph Peak","53.04","-","K7EAR","o","141.3",""
"402","51-54 MHz (6 m)","","","","Angola WLKI","53.05","-","W9LKI","o","123.0",""
"403","51-54 MHz (6 m)","","","","Auburn","53.05","-","K2INH","o","71.9",""
"404","51-54 MHz (6 m)","","","","Bristol","53.05","-","WA1IXU","o","162.2",""
"405","51-54 MHz (6 m)","","","","Camas Prune Hill","53.05","-","KD7DYR","o","100.0",""
"406","51-54 MHz (6 m)","","","","Cedar Grove Biskey Mtn","53.05","-","KC4JNN","o","100.0",""
"407","51-54 MHz (6 m)","","","","Conifer Conifer Mountain","53.05","-","W0CRA","o","107.2",""
"408","51-54 MHz (6 m)","","","","Duluth","53.05","-","N0BZZ","o","",""
"409","51-54 MHz (6 m)","","","","Eldon","53.05","-","KC0KWL","o","127.3",""
"410","51-54 MHz (6 m)","","","","Franklin","53.05","-","WA4BGK","o","114.8",""
"411","51-54 MHz (6 m)","","","","Georgetown","53.05","-","K5AB","o","88.5",""
"412","51-54 MHz (6 m)","","","","Haliburton","53.05","-","VE3SRU","o","",""
"413","51-54 MHz (6 m)","","","","Haughton","53.05","-","W5JLH","o","",""
"414","51-54 MHz (6 m)","","","","Holly Hill","53.05","-","KI4RF","o","100.0",""
"415","51-54 MHz (6 m)","","","","Litchfield","53.05","-","K1AAM","o","136.5",""
"416","51-54 MHz (6 m)","","","","Massillon","53.05","-","WA8GXM","o","136.5",""
"417","51-54 MHz (6 m)","","","","Myrtle Beach","53.05","52.05","NE4SC","o","123.0",""
"418","51-54 MHz (6 m)","","","","Panama City","53.05","-","AC4QB","o","",""
"419","51-54 MHz (6 m)","","","","Roaring Gap","53.05","-","WA4PXV","o","151.4",""
"420","51-54 MHz (6 m)","","","","Saint-Joseph-du-Lac","53.05","-","VE2RST","o","",""
"421","51-54 MHz (6 m)","","","","Windsor","53.05","-","VE3RRR","o","118.8",""
"422","51-54 MHz (6 m)","","","","Claremont","53.07","-","WX1NH","o","97.4",""
"423","51-54 MHz (6 m)","","","","Du Bois Rockton Mountain","53.07","-","N3QC","o","",""
"424","51-54 MHz (6 m)","","","","Edgar","53.07","-","VE3LSR","o","156.7",""
"425","51-54 MHz (6 m)","","","","Gum Springs","53.07","-","","o","",""
"426","51-54 MHz (6 m)","","","","Madison","53.07","-","N9KAN","o","103.5",""
"427","51-54 MHz (6 m)","","","","Mount Airy","53.07","-","KD4FWS","o","100.0",""
"428","51-54 MHz (6 m)","","","","Oakridge Wolf Mountain","53.07","-","W7ARD","o","100.0",""
"429","51-54 MHz (6 m)","","","","Pleasant Mount","53.07","-","K2KQZ","o","136.5",""
"430","51-54 MHz (6 m)","","","","Saint-Calixte","53.07","-","VE2RVK","o","141.3",""
"431","51-54 MHz (6 m)","","","","Youngsville","53.07","-","WB4IUY","o","100.0",""
"432","51-54 MHz (6 m)","","","","Carlsbad","53.08","-","KD6WJG","o","127.3",""
"433","51-54 MHz (6 m)","","","","Bayfield","53.09","-","KB0TNB","o","103.5",""
"434","51-54 MHz (6 m)","","","","Bessemer","53.09","-","WB4YRJ","o","",""
"435","51-54 MHz (6 m)","","","","Independence water tank","53.09","-","WB5ERM","o","107.2",""
"436","51-54 MHz (6 m)","","","","Keswick","53.09","-","VA3PTX","c","156.7",""
"437","51-54 MHz (6 m)","","","","Lakewood Green Mountain","53.09","-","W0TX","o","107.2",""
"438","51-54 MHz (6 m)","","","","Lancaster","53.09","-","K8QIK","o","71.9",""
"439","51-54 MHz (6 m)","","","","Lyman Lyman Hill","53.09","-","W7UMH","o","100.0",""
"440","51-54 MHz (6 m)","","","","Manson Slide Ridge","53.09","-","K7YR","o","100.0",""
"441","51-54 MHz (6 m)","","","","Morehead City","53.09","-","KF4IXW","o","162.2",""
"442","51-54 MHz (6 m)","","","","Nashville Brown County State Park","53.09","-","W9SCI","o","136.5",""
"443","51-54 MHz (6 m)","","","","Ottawa","53.09","-","VE3TST","o","136.5",""
"444","51-54 MHz (6 m)","","","","Pelham","53.09","-","N1PAH","o","162.2",""
"445","51-54 MHz (6 m)","","","","Portland Healy Heights","53.09","-","N7NLL","o","107.2",""
"446","51-54 MHz (6 m)","","","","Roanoke","53.09","-","WB8BON","o","123.0",""
"447","51-54 MHz (6 m)","","","","Saint-Marguerite","53.09","-","VE2RIX","o","",""
"448","51-54 MHz (6 m)","","","","Sheldahl","53.09","-","N0QFK","o","",""
"449","51-54 MHz (6 m)","","","","Shelton","53.09","-","WB7OXJ","o","110.9",""
"450","51-54 MHz (6 m)","","","","Westminster","53.09","-","K3PZN","o","107.2",""
"451","51-54 MHz (6 m)","","","","Woodstock","53.09","-","W1IMD","o","71.9",""
"452","51-54 MHz (6 m)","","","","Las Vegas Lo Potosi Mtn","53.1","-","WB6ORK","o","",""
"453","51-54 MHz (6 m)","","","","Brainerd","53.11","-","W0UJ","o","123.0",""
"454","51-54 MHz (6 m)","","","","Buckhannon","53.11","-","N8ZAR","o","103.5",""
"455","51-54 MHz (6 m)","","","","Carlisle","53.11","-","VE3WIK","o","131.8",""
"456","51-54 MHz (6 m)","","","","Cedar Hill","53.11","-","W5AHN","o","",""
"457","51-54 MHz (6 m)","","","","Dover Bluff","53.11","-","KG4PXG","o","100.0",""
"458","51-54 MHz (6 m)","","","","East Hampton","53.11","-","KB1CDI","o","88.5",""
"459","51-54 MHz (6 m)","","","","Gatineau","53.11","-","VE2REH","o","110.9",""
"460","51-54 MHz (6 m)","","","","Grand-Mere","53.11","-","VA2RTI","o","141.3",""
"461","51-54 MHz (6 m)","","","","Helena","53.11","-","WR7HLN","o","",""
"462","51-54 MHz (6 m)","","","","Lawrenceville","53.11","-","W4GR","o","82.5",""
"463","51-54 MHz (6 m)","","","","Magazine Mountain","53.11","-","N5XMZ","o","131.8",""
"464","51-54 MHz (6 m)","","","","Melville","53.11","-","WB2CIK","o","107.2",""
"465","51-54 MHz (6 m)","","","","Menominee","53.11","51.41","AB9PJ","o","114.8",""
"466","51-54 MHz (6 m)","","","","Omak Tunk Mountain","53.11","-","WA7MV","o","100.0",""
"467","51-54 MHz (6 m)","","","","Parry Sound McKellar","53.11","-","VE3AAY","o","118.8",""
"468","51-54 MHz (6 m)","","","","Toledo Downtown Toledo","53.11","-","W8HHF","o","",""
"469","51-54 MHz (6 m)","","","","Warrior Corner","53.11","-","N4UKE","o","131.8",""
"470","51-54 MHz (6 m)","","","","Woodstock","53.11","-","N2WCY","o","77.0",""
"471","51-54 MHz (6 m)","","","","Alexandria","53.13","-","W4HFH","o","107.2",""
"472","51-54 MHz (6 m)","","","","Ballantrae","53.13","-","VA3PWR","o","103.5",""
"473","51-54 MHz (6 m)","","","","Bloomsburg","53.13","-","WB3DUC","o","131.8",""
"474","51-54 MHz (6 m)","","","","Boucherville","53.13","-","VE2MRQ","o","103.5",""
"475","51-54 MHz (6 m)","","","","Colorado Springs Cheyenne Mountain","53.13","-","WA6IFI","o","107.2",""
"476","51-54 MHz (6 m)","","","","Dalton","53.13","-","N4BZJ","o","141.3",""
"477","51-54 MHz (6 m)","","","","Danbury Spruce Mountain","53.13","-","W1QI","o","100.0",""
"478","51-54 MHz (6 m)","","","","Dresden","53.13","-","KB4IBW","o","107.2",""
"479","51-54 MHz (6 m)","","","","Duluth","53.13","-","KB0QYC","o","103.5",""
"480","51-54 MHz (6 m)","","","","Hendersonville","53.13","-","W4FOT","o","100.0",""
"481","51-54 MHz (6 m)","","","","Kansas City","53.13","-","K0HAM","o","88.5",""
"482","51-54 MHz (6 m)","","","","Rosston","53.13","-","N6LXX","o","103.5",""
"483","51-54 MHz (6 m)","","","","San Antonio","53.13","-","K5SUZ","o","179.9",""
"484","51-54 MHz (6 m)","","","","Terre Haute","53.13","-","K9ITK","o","151.4",""
"485","51-54 MHz (6 m)","","","","Uriah","53.13","-","N4YYX","o","",""
"486","51-54 MHz (6 m)","","","","Vancouver Larch Mountain","53.13","-","KB7APU","o","107.2",""
"487","51-54 MHz (6 m)","","","","Weeki Wachee","53.13","-","KF4CIK","o","100.0",""
"488","51-54 MHz (6 m)","","","","Atlanta","53.15","-","KA5WZY","o","",""
"489","51-54 MHz (6 m)","","","","Bedford Thaxton Mtn","53.15","-","K4LYL","o","",""
"490","51-54 MHz (6 m)","","","","Collingwood","53.15","-","VE3RMT","o","156.7",""
"491","51-54 MHz (6 m)","","","","Cumberland Furnace","53.15","-","N4GRW","o","91.5",""
"492","51-54 MHz (6 m)","","","","Dryden","53.15","-","VA3YHD","o","",""
"493","51-54 MHz (6 m)","","","","Falcon Heights","53.15","53.15","W0YC","o","",""
"494","51-54 MHz (6 m)","","","","Fort Worth","53.15","-","K5SXK","o","110.9",""
"495","51-54 MHz (6 m)","","","","Groves BPT Area","53.15","-","N5STK","o","100.0",""
"496","51-54 MHz (6 m)","","","","Harrison Boat Mountain","53.15","-","WB5CYX","o","",""
"497","51-54 MHz (6 m)","","","","Houston","53.15","-","WB5ITT","o","100.0",""
"498","51-54 MHz (6 m)","","","","Huntington","53.15","-","K9MMQ","o","141.3",""
"499","51-54 MHz (6 m)","","","","Madison","53.15","-","WD8DAS","o","123.0",""
"500","51-54 MHz (6 m)","","","","Malone","53.15","-","WB2RYB","o","123.0",""
